year_month,year,month,total_spending,transaction_count,average_transaction,largest_transaction,number_of_unique_merchants,weekend_spending,number_of_weekend_transactions,weekend_ratio,groceries_spending,dining_spending,transport_spending,shopping_spending,entertainment_spending,bills_spending,health_spending,travel_spending,food_spending,previous_month_spending,spending_2_months_ago,spending_3_months_ago,3_month_moving_average,6_month_moving_average,prev_food_spending,prev_shopping_spending,prev_transport_spending,prev_bills_spending
2023-01,2023,1,6556.63,128,51.22,504.09,77,1937.23,32,0.2955,2262.89,795.24,228.76,1100.2,147.8,475.94,338.18,1207.62,3058.13,,,,,,,,,
2023-02,2023,2,3929.44,95,41.36,189.49,65,711.8,17,0.1811,1202.34,506.39,284.52,646.44,168.69,675.53,246.85,198.68,1708.73,6556.63,,,,,3058.13,1100.2,228.76,475.94
2023-03,2023,3,5261.51,116,45.36,479.32,89,1321.82,29,0.2512,1981.52,1210.57,497.62,257.43,219.45,657.71,165.08,272.13,3192.09,3929.44,6556.63,,,,1708.73,646.44,284.52,675.53
2023-04,2023,4,6624.65,125,53.0,788.57,83,2582.26,29,0.3898,2218.93,634.02,438.19,1637.7,383.85,416.49,195.78,699.69,2852.95,5261.51,3929.44,6556.63,5249.193333333334,,3192.09,257.43,497.62,657.71
2023-05,2023,5,7105.62,137,51.87,862.93,88,1647.95,32,0.2319,2507.28,996.85,395.23,1829.78,180.06,417.27,245.72,533.43,3504.13,6624.65,5261.51,3929.44,5271.866666666667,,2852.95,1637.7,438.19,416.49
2023-06,2023,6,6066.44,125,48.53,516.64,82,1667.85,33,0.2749,1929.83,796.45,509.28,1289.47,117.31,711.14,171.32,541.64,2726.28,7105.62,6624.65,5261.51,6330.593333333333,,3504.13,1829.78,395.23,417.27
2023-07,2023,7,5712.34,128,44.63,253.4,79,1443.1,36,0.2526,1952.22,908.05,397.97,828.09,151.13,1019.0,202.48,253.4,2860.27,6066.44,7105.62,6624.65,6598.903333333333,5924.048333333333,2726.28,1289.47,509.28,711.14
2023-08,2023,8,6468.01,126,51.33,427.54,75,1827.31,29,0.2825,2325.7,957.54,475.42,933.33,138.71,617.87,93.62,925.82,3283.24,5712.34,6066.44,7105.62,6294.8,5783.333333333333,2860.27,828.09,397.97,1019.0
2023-09,2023,9,5515.77,112,49.25,456.74,80,1551.44,35,0.2813,1564.26,1396.64,420.69,733.83,175.37,1021.06,87.01,116.91,2960.9,6468.01,5712.34,6066.44,6082.263333333333,6206.428333333333,3283.24,933.33,475.42,617.87
2023-10,2023,10,6787.03,126,53.87,1342.05,77,1603.26,36,0.2362,2399.62,808.17,391.79,911.86,186.94,472.24,106.03,1510.38,3207.79,5515.77,6468.01,5712.34,5898.706666666668,6248.805,2960.9,733.83,420.69,1021.06
2023-11,2023,11,4346.76,105,41.4,332.46,70,1041.97,26,0.2397,1336.43,974.56,256.21,719.6,171.11,205.44,31.29,652.12,2310.99,6787.03,5515.77,6468.01,6256.936666666667,6275.868333333333,3207.79,911.86,391.79,472.24
2023-12,2023,12,7284.7,112,65.04,446.34,72,2687.82,34,0.369,2858.17,1681.59,286.29,1586.49,182.7,522.36,167.1,0.0,4539.76,4346.76,6787.03,5515.77,5549.8533333333335,5816.058333333333,2310.99,719.6,256.21,205.44
2024-01,2024,1,5343.36,123,43.44,133.21,84,1087.63,23,0.2035,2414.78,1143.77,373.64,646.42,295.46,203.68,265.61,0.0,3558.55,7284.7,4346.76,6787.03,6139.496666666666,6019.1016666666665,4539.76,1586.49,286.29,522.36
2024-02,2024,2,4834.98,112,43.17,243.68,67,1234.02,26,0.2552,2099.58,967.04,386.86,625.58,193.81,459.3,102.81,0.0,3066.62,5343.36,7284.7,4346.76,5658.2733333333335,5957.6050000000005,3558.55,646.42,373.64,203.68
2024-03,2024,3,4743.17,107,44.33,147.55,72,2038.61,44,0.4298,1929.56,601.71,394.21,894.3,195.59,386.05,341.75,0.0,2531.27,4834.98,5343.36,7284.7,5821.013333333332,5685.433333333333,3066.62,625.58,386.86,459.3
2024-04,2024,4,5195.89,119,43.66,188.36,82,1400.75,27,0.2696,2202.23,956.12,530.72,815.48,251.9,239.08,12.0,188.36,3158.35,4743.17,4834.98,5343.36,4973.836666666666,5556.666666666667,2531.27,894.3,394.21,386.05
2024-05,2024,5,4158.45,107,38.86,150.35,73,966.15,26,0.2323,1622.42,834.47,443.24,474.73,288.53,338.86,118.18,38.02,2456.89,5195.89,4743.17,4834.98,4924.679999999999,5291.4766666666665,3158.35,815.48,530.72,239.08
