raw_date,raw_merchant,raw_amount,true_category,true_date,true_amount
2025-02-19,DELIVEROO.IE *8043,-46.99,Dining & Takeaway,2025-02-19,46.99
2024-01-17,Gourmet Burger Kitchen,-18.98,Dining & Takeaway,2024-01-17,18.98
2024.07.06,Marks & Spencer Food,-51.60,Groceries,2024-07-06,51.6
2025-03-23,Lidl 1081 BRAY,-12.62,Groceries,2025-03-23,12.62
2024-09-19,nandos galway,-48.74,Dining & Takeaway,2024-09-19,48.74
2023.09.10,  CIRCLE K KILKENNY   ,27.13 EUR,Transport,2023-09-10,27.13
30/08/2024,,-?85.28,Groceries,2024-08-30,85.28
30/11/2024,TESCO EXTRA DUNDALK,?52.69,Groceries,2024-11-30,52.69
2024-07-09,Costa Coffee CORK,-33.10,Dining & Takeaway,2024-07-09,33.1
2023-07-14,Costa Coffee BRAY,51.78,Dining & Takeaway,2023-07-14,51.78
"Oct 27, 2024",ASOS.COM ORDERS,-?41.67,Shopping,2024-10-27,41.67
16/03/2025,,-74.15,Groceries,2025-03-16,74.15
2023-07-10,  AMZN PRIME MEMBER   ,13.51,Entertainment & Subscriptions,2023-07-10,13.51
2024-02-01,LEAP CARD AUTO TOPUP,-17.69,Transport,2024-02-01,17.69
2024-11-13,LIDL IRELAND,?48.36,Groceries,2024-11-13,48.36
29/10/2023,Odeon Cinemas Dublin,-?40.11,Entertainment & Subscriptions,2023-10-29,40.11
30/01/2023,Netflix.com monthly,-4.99,Entertainment & Subscriptions,2023-01-30,4.99
2025-04-01,  JUST EAT 2347   ,?15.38,Dining & Takeaway,2025-04-01,15.38
2024.12.11,Steam Games Purchase,8.48 EUR,Entertainment & Subscriptions,2024-12-11,8.48
2025.06.07,  Starbucks Coffee #4463   ,-?42.32,Dining & Takeaway,2025-06-07,42.32
2024-06-20,Applegreen Motorway Services,-?24.10,Transport,2024-06-20,24.1
2023-06-30,Costa Coffee LIMERICK,-21.30,Dining & Takeaway,2023-06-30,21.3
2025.06.16,YOUTUBE PREMIUM,-8.43,Entertainment & Subscriptions,2025-06-16,8.43
2023-11-25,Brown Thomas Dublin,-10.00,Shopping,2023-11-25,10.0
"Jul 29, 2023",Nandos Dundalk,-4.40,Dining & Takeaway,2023-07-29,4.4
2024.01.22,Steam Games Purchase,-10.56,Entertainment & Subscriptions,2024-01-22,10.56
2024.05.20,Dominos Pizza BRAY,-?4.61,Dining & Takeaway,2024-05-20,4.61
2024-01-01,  SPOTIFY AB 2501 EUR   ,-19.80,Entertainment & Subscriptions,2024-01-01,19.8
2023-04-17,Gourmet Burger Kitchen,-?31.10,Dining & Takeaway,2023-04-17,31.1
"Jul 31, 2024",IKEA DUBLIN STORE,-194.00,Shopping,2024-07-31,194.0
2023-10-18,Steam Games Purchase,?36.21,Entertainment & Subscriptions,2023-10-18,36.21
2023.01.05,TESCO EXTRA KILKENNY,?64.36,Groceries,2023-01-05,64.36
15/09/2024,Lidl 5559 GALWAY,-62.97,Groceries,2024-09-15,62.97
2023-11-08,Marks & Spencer Food,-?29.31,Groceries,2023-11-08,29.31
2023-08-27,Dominos Pizza DUNDALK,-32.46,Dining & Takeaway,2023-08-27,32.46
28/12/2024,ALDI IRELAND GMBH,154.18,Groceries,2024-12-28,154.18
2023-02-17,PLAYSTATION NETWORK 7475,?14.50,Entertainment & Subscriptions,2023-02-17,14.5
01/05/2023,SuperValu DUBLIN,?51.99,Groceries,2023-05-01,51.99
2024-04-11,Applegreen Motorway Services,-46.36,Transport,2024-04-11,46.36
2024.04.27,vodafone bill pay,-154.27,Utilities & Bills,2024-04-27,154.27
"Nov 02, 2024",  TESCO EXTRA DUBLIN   ,-82.55,Groceries,2024-11-02,82.55
"Mar 03, 2023",  SHELL PETROL 3676   ,-8.52,Transport,2023-03-03,8.52
